Component,Quantity,Price (USD),Product Link
Arduino Uno,1,28.5,https://www.tme.eu/it/en/details/a000066/arduino-solutions/arduino/arduino-uno-rev3/
4-Channel Relay Module,1,5.99,https://www.amazon.com/dp/B00LW15A4W/
Servo Motor MG996R,2,20,https://www.robotshop.com/products/mg996r-high-torque-servo
TDS Sensor,1,15,https://store.fut-electronics.com/products/tds-total-dissolved-solids-water-sensor-1-meter-probe
pH Sensor,1,29.5,https://www.dfrobot.com/product-1782.html
Graphene Oxide Powder (1g),1,45,https://www.graphene-supermarket.com/Graphene-Oxide/GO-Powder-1g.html
18650 Batteries + Holder,10,45,https://www.18650batterystore.com/products/sony-vtc6
DC Water Pump (12V),1,30,https://www.amazon.eg/Brushless-Submersible-Centrifugal-Container-Entertainment/dp/B0CDK7GQF2/
Wood Ash (Clean Source),1,14,Local Source
Biosand Filter Media Pack,1,20,Local Supplier
Tubing/PVC Valves/ Housing,1,16,https://www.aliexpress.com/item/1005005231450217.html
Sulfuric Acid (500ml),1,8,https://www.fishersci.com/shop/products/sulfuric-acid-certified-acs-fisher-chemical/S2564
Potassium Permanganate,1,8,https://www.sigmaaldrich.com/EG/en/product/sial/223468
Total,,285.99,

